epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4212.97,1.62902,1.40822,1.58408,0.67034,0.45892,0.57639,0.24862,2.11744,1.44252,2.02591,0.00132868,0.00132868,0.00132868
43,4312.68,1.6193,1.38395,1.57395,0.53394,0.54517,0.52924,0.24786,1.94099,1.42061,1.84754,0.00132043,0.00132043,0.00132043
44,4412.09,1.59592,1.32825,1.55045,0.66239,0.4675,0.55731,0.24593,2.03059,1.54846,1.93213,0.00131218,0.00131218,0.00131218
45,4511.44,1.58098,1.358,1.55367,0.56199,0.49755,0.5376,0.25239,1.96547,1.59931,1.88881,0.00130393,0.00130393,0.00130393
46,4610.96,1.59454,1.35054,1.55738,0.57925,0.56019,0.58229,0.28112,2.10853,1.33994,1.98203,0.00129568,0.00129568,0.00129568
47,4710.65,1.59963,1.31997,1.54448,0.50712,0.57625,0.48992,0.23256,1.97447,1.48858,1.8877,0.00128742,0.00128742,0.00128742
48,4810.74,1.58596,1.33931,1.54033,0.57458,0.57736,0.57949,0.27839,1.88166,1.4211,1.81077,0.00127917,0.00127917,0.00127917
49,4909.75,1.57099,1.32378,1.52532,0.51806,0.67194,0.5704,0.26869,1.96217,1.32861,1.8618,0.00127092,0.00127092,0.00127092
50,5008.44,1.58994,1.31551,1.55383,0.58239,0.57286,0.56074,0.24665,1.98381,1.29233,1.87166,0.00126267,0.00126267,0.00126267
51,5107.06,1.57695,1.31213,1.53219,0.58042,0.6207,0.59162,0.27959,2.04445,1.41688,1.92887,0.00125442,0.00125442,0.00125442
52,5205.85,1.56605,1.29248,1.53072,0.55821,0.6576,0.59521,0.28435,1.91911,1.38611,1.80875,0.00124617,0.00124617,0.00124617
53,5304.65,1.54212,1.2719,1.50847,0.60401,0.55787,0.59162,0.27615,2.09221,1.42289,1.9713,0.00123791,0.00123791,0.00123791
54,5403.14,1.53927,1.2833,1.51807,0.64043,0.5773,0.56164,0.23665,2.30121,1.40672,2.19806,0.00122966,0.00122966,0.00122966
55,5501.39,1.5664,1.29477,1.53379,0.67734,0.53196,0.61717,0.29218,2.03611,1.4215,1.92309,0.00122141,0.00122141,0.00122141
56,5599,1.58141,1.2823,1.53238,0.65306,0.52919,0.5756,0.28152,1.88309,1.26249,1.78005,0.00121316,0.00121316,0.00121316
57,5696.92,1.57045,1.31178,1.52969,0.58228,0.64643,0.59479,0.29422,1.90817,1.32608,1.80173,0.00120491,0.00120491,0.00120491
58,5794.84,1.56496,1.28934,1.53021,0.65892,0.51257,0.56366,0.27046,2.04319,1.28282,1.94781,0.00119666,0.00119666,0.00119666
59,5892.95,1.56582,1.28143,1.52607,0.61449,0.58594,0.62726,0.29992,1.90159,1.27633,1.79698,0.0011884,0.0011884,0.0011884
60,5990.76,1.54306,1.26108,1.51937,0.58129,0.57112,0.58138,0.27051,2.01561,1.46617,1.94874,0.00118015,0.00118015,0.00118015
61,6088.66,1.51568,1.21594,1.4891,0.61051,0.64533,0.59492,0.27225,2.10901,1.46334,2.01939,0.0011719,0.0011719,0.0011719
62,6186.66,1.53569,1.26151,1.52007,0.60729,0.55375,0.61674,0.30473,2.02361,1.38234,1.94592,0.00116365,0.00116365,0.00116365
63,6284.33,1.51454,1.24204,1.48832,0.56233,0.65951,0.61953,0.31529,1.84891,1.34406,1.77465,0.0011554,0.0011554,0.0011554
64,6382.03,1.50183,1.25105,1.49389,0.65034,0.55945,0.61664,0.31232,1.97255,1.27491,1.87561,0.00114715,0.00114715,0.00114715
65,6479.69,1.54296,1.25357,1.51891,0.56455,0.62497,0.57836,0.28627,1.94097,1.36171,1.85845,0.00113889,0.00113889,0.00113889
66,6577.42,1.50714,1.23887,1.51051,0.61026,0.59513,0.56393,0.27608,2.12425,1.35861,2.0341,0.00113064,0.00113064,0.00113064
67,6675.3,1.51433,1.24906,1.50622,0.57767,0.58829,0.59568,0.28378,2.01714,1.33221,1.94221,0.00112239,0.00112239,0.00112239
