epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.3137,3.79605,5.13122,3.75478,0.73235,0.21424,0.18851,0.07102,2.62632,1.91227,1.96861,0.000554542,0.000554542,0.000554542
2,121.747,2.83358,2.7772,2.5151,0.16937,0.28755,0.19611,0.06238,2.50686,1.82029,1.73113,0.00110654,0.00110654,0.00110654
3,175.812,2.60053,2.39036,2.24727,0.70093,0.26395,0.18392,0.05693,2.47761,1.74931,1.67368,0.00165488,0.00165488,0.00165488
4,229.539,2.46088,2.13136,2.10434,0.816,0.31326,0.29661,0.1206,2.06112,1.61569,1.46447,0.0016505,0.0016505,0.0016505
5,283.29,2.3546,2.02563,2.03708,0.32914,0.42356,0.31447,0.12426,2.20949,1.59812,1.50593,0.001645,0.001645,0.001645
6,337.214,2.28459,1.93237,1.9746,0.30647,0.45596,0.31859,0.11729,2.17429,1.48529,1.49931,0.00163949,0.00163949,0.00163949
