epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7588.97,1.59724,1.1969,1.35898,0.72707,0.55336,0.5444,0.26117,2.35822,1.21813,1.53734,0.00144145,0.00144145,0.00144145
43,7766.31,1.60931,1.17972,1.36503,0.76731,0.55804,0.59374,0.28492,2.27298,1.15522,1.43753,0.00143595,0.00143595,0.00143595
44,7944.46,1.60439,1.16294,1.34085,0.69903,0.56468,0.56987,0.2771,2.37134,1.2547,1.52703,0.00143045,0.00143045,0.00143045
45,8122.15,1.59948,1.16742,1.35859,0.64606,0.68935,0.6184,0.27976,2.05793,1.10224,1.34303,0.00142495,0.00142495,0.00142495
46,8300.91,1.56765,1.16692,1.35382,0.76026,0.48447,0.54068,0.25572,2.26752,1.10878,1.46095,0.00141945,0.00141945,0.00141945
47,8479.09,1.58066,1.15652,1.33758,0.6877,0.56233,0.57378,0.26266,2.18645,1.16285,1.43014,0.00141395,0.00141395,0.00141395
48,8657.17,1.57671,1.14716,1.34377,0.7308,0.52722,0.58139,0.28936,2.16535,1.1454,1.39791,0.00140845,0.00140845,0.00140845
49,8835.11,1.56693,1.15577,1.32403,0.71038,0.58286,0.62903,0.32634,1.94952,1.07362,1.29704,0.00140295,0.00140295,0.00140295
50,9013.84,1.57877,1.15234,1.33817,0.65474,0.59238,0.60101,0.28897,2.15143,1.08691,1.41748,0.00139745,0.00139745,0.00139745
51,9190.54,1.56645,1.15717,1.34298,0.67578,0.55591,0.59267,0.28761,2.04446,1.11095,1.33983,0.00139195,0.00139195,0.00139195
52,9369.3,1.55654,1.1503,1.33536,0.63722,0.58341,0.56746,0.27954,2.21084,1.1504,1.42687,0.00138644,0.00138644,0.00138644
53,9547.42,1.53608,1.13611,1.33523,0.66934,0.58182,0.61837,0.31873,2.21034,1.16669,1.39991,0.00138094,0.00138094,0.00138094
54,9726.36,1.54364,1.12673,1.31262,0.63249,0.61353,0.57705,0.30888,2.29428,1.1187,1.48825,0.00137544,0.00137544,0.00137544
55,9905.03,1.54484,1.13371,1.32686,0.56903,0.58635,0.52589,0.2868,2.38317,1.20977,1.53098,0.00136994,0.00136994,0.00136994
56,10082.7,1.53387,1.10546,1.3214,0.66548,0.59238,0.62088,0.32027,1.96932,1.05938,1.29037,0.00136444,0.00136444,0.00136444
57,10259.4,1.52644,1.11557,1.32155,0.73312,0.62629,0.60746,0.31771,2.12505,1.06097,1.38505,0.00135894,0.00135894,0.00135894
58,10436.8,1.52636,1.10639,1.31229,0.60866,0.68976,0.63022,0.33183,2.1171,1.09576,1.38035,0.00135344,0.00135344,0.00135344
59,10615.1,1.51588,1.08572,1.30063,0.59009,0.68954,0.60203,0.31659,2.15976,1.09115,1.38987,0.00134794,0.00134794,0.00134794
60,10793.8,1.51453,1.12243,1.3192,0.71983,0.62068,0.63984,0.33388,2.04276,1.02648,1.31765,0.00134244,0.00134244,0.00134244
61,10972.5,1.5024,1.09732,1.30522,0.72614,0.65093,0.67782,0.38059,2.11001,1.11469,1.37178,0.00133693,0.00133693,0.00133693
62,11151,1.48881,1.06651,1.28129,0.61734,0.68118,0.61187,0.31745,2.10173,1.15327,1.35276,0.00133143,0.00133143,0.00133143
63,11329.5,1.5101,1.08153,1.29811,0.59731,0.66401,0.58198,0.30466,2.31047,1.19043,1.50442,0.00132593,0.00132593,0.00132593
64,11508.1,1.49462,1.08691,1.30403,0.7006,0.7044,0.67815,0.37584,1.92511,1.0021,1.2732,0.00132043,0.00132043,0.00132043
65,11687,1.48887,1.08791,1.29178,0.58629,0.6563,0.60176,0.32017,2.17394,1.17906,1.42825,0.00131493,0.00131493,0.00131493
66,11865.7,1.48172,1.06111,1.28606,0.73793,0.69457,0.68124,0.37007,1.96964,1.01631,1.30372,0.00130943,0.00130943,0.00130943
67,12044.8,1.47378,1.05555,1.27419,0.61743,0.62945,0.61241,0.34092,2.18179,1.05582,1.4141,0.00130393,0.00130393,0.00130393
68,12223.6,1.49575,1.05445,1.28919,0.69509,0.60331,0.62518,0.35231,2.04169,1.11813,1.35196,0.00129843,0.00129843,0.00129843
69,12402.4,1.46415,1.05956,1.26782,0.70287,0.63025,0.644,0.32852,2.09468,1.08354,1.39964,0.00129293,0.00129293,0.00129293
