epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.081,3.78389,5.058,3.69332,0.21625,0.23196,0.15933,0.05462,2.71524,2.11655,1.96099,0.000554542,0.000554542,0.000554542
2,343.64,2.82399,2.77363,2.47509,0.15682,0.2708,0.10997,0.03699,2.74782,2.22215,1.85756,0.00110654,0.00110654,0.00110654
3,507.6,2.55777,2.34868,2.16399,0.27932,0.33538,0.21521,0.06286,2.51532,1.6664,1.70233,0.00165488,0.00165488,0.00165488
4,672.128,2.43572,2.19733,2.08237,0.81393,0.27878,0.2789,0.10445,2.25483,1.62305,1.56857,0.0016505,0.0016505,0.0016505
5,836.022,2.35047,2.03108,1.96562,0.35773,0.36971,0.31741,0.10242,2.5682,1.56805,1.75864,0.001645,0.001645,0.001645
6,1000.63,2.27926,1.8911,1.87915,0.5313,0.46278,0.40706,0.14981,2.04608,1.29774,1.43703,0.00163949,0.00163949,0.00163949
7,1164.47,2.20956,1.84733,1.83043,0.87684,0.33047,0.35647,0.13693,2.07489,1.3027,1.43243,0.00163399,0.00163399,0.00163399
8,1328.53,2.16776,1.80358,1.77496,0.30892,0.41457,0.36184,0.13947,2.03275,1.35175,1.41224,0.00162849,0.00162849,0.00162849
9,1492.75,2.127,1.7642,1.75911,0.50552,0.39352,0.34165,0.12264,2.26532,1.37408,1.48962,0.00162299,0.00162299,0.00162299
10,1656.06,2.06193,1.70103,1.69917,0.33136,0.43429,0.36581,0.16316,1.9875,1.27462,1.37468,0.00161749,0.00161749,0.00161749
11,1820.44,2.04353,1.6764,1.66291,0.50977,0.4907,0.43152,0.18766,2.02643,1.36538,1.39396,0.00161199,0.00161199,0.00161199
12,1984.27,2.02204,1.65671,1.64855,0.36215,0.43879,0.3027,0.11129,2.23652,1.43059,1.47195,0.00160649,0.00160649,0.00160649
13,2149.12,2.00268,1.64667,1.64282,0.44448,0.37843,0.36067,0.13158,2.31078,1.4166,1.53252,0.00160099,0.00160099,0.00160099
14,2312.85,1.96815,1.59572,1.62619,0.49517,0.45091,0.43219,0.15403,2.27676,1.35147,1.50851,0.00159549,0.00159549,0.00159549
15,2477.2,1.91998,1.55901,1.60105,0.49951,0.4345,0.38821,0.15628,2.17005,1.3913,1.4381,0.00158998,0.00158998,0.00158998
16,2641.03,1.9183,1.55568,1.59872,0.48691,0.38688,0.39694,0.15134,2.23767,1.51545,1.49429,0.00158448,0.00158448,0.00158448
17,2805.47,1.89716,1.56203,1.59614,0.40434,0.52544,0.40947,0.15029,2.30455,1.44194,1.50741,0.00157898,0.00157898,0.00157898
18,2969.22,1.88108,1.52048,1.56878,0.44432,0.46924,0.35068,0.1312,2.21403,1.43056,1.48357,0.00157348,0.00157348,0.00157348
19,3133.21,1.84055,1.48652,1.53624,0.58835,0.51666,0.50134,0.19035,1.98904,1.27744,1.35222,0.00156798,0.00156798,0.00156798
20,3297.53,1.82211,1.44211,1.5114,0.41054,0.44134,0.33846,0.13463,2.38173,1.51225,1.55404,0.00156248,0.00156248,0.00156248
21,3461.21,1.80656,1.44184,1.53255,0.44467,0.54437,0.42856,0.17479,2.42668,1.32528,1.61363,0.00155698,0.00155698,0.00155698
22,3625.67,1.80627,1.42321,1.50061,0.50177,0.54344,0.43699,0.19657,2.19475,1.1696,1.46464,0.00155148,0.00155148,0.00155148
23,3789.41,1.77756,1.41881,1.48853,0.48936,0.59615,0.45507,0.17673,2.25494,1.34901,1.47345,0.00154598,0.00154598,0.00154598
24,3953.55,1.756,1.36106,1.45448,0.51527,0.51492,0.4294,0.18775,2.3238,1.32065,1.51469,0.00154047,0.00154047,0.00154047
25,4117.42,1.73311,1.34133,1.46829,0.53704,0.56428,0.45073,0.16876,2.21983,1.27406,1.4982,0.00153497,0.00153497,0.00153497
26,4281.36,1.75367,1.3602,1.47686,0.57357,0.51001,0.48548,0.21476,1.88673,1.13674,1.29626,0.00152947,0.00152947,0.00152947
27,4445.53,1.74245,1.37691,1.48388,0.56582,0.59667,0.5117,0.23061,2.02533,1.2279,1.3558,0.00152397,0.00152397,0.00152397
28,4609.06,1.71054,1.32538,1.45652,0.59554,0.5473,0.49834,0.21498,2.06269,1.14036,1.37333,0.00151847,0.00151847,0.00151847
29,4773.5,1.71187,1.32548,1.45668,0.57627,0.63765,0.52233,0.24505,2.00549,1.1717,1.35337,0.00151297,0.00151297,0.00151297
30,4937.41,1.70302,1.31797,1.45451,0.54658,0.44543,0.46059,0.19077,2.28482,1.27818,1.48404,0.00150747,0.00150747,0.00150747
31,5103.1,1.70798,1.3116,1.44681,0.61294,0.64086,0.5643,0.25352,1.98249,1.12438,1.32654,0.00150197,0.00150197,0.00150197
32,5266.74,1.66241,1.29846,1.42885,0.59347,0.56448,0.51973,0.21665,2.1875,1.19767,1.43909,0.00149647,0.00149647,0.00149647
33,5431.01,1.67357,1.27466,1.4144,0.66156,0.54496,0.49329,0.23408,2.17214,1.25679,1.44293,0.00149096,0.00149096,0.00149096
34,5594.79,1.64489,1.24668,1.39997,0.53508,0.64878,0.4985,0.22747,2.14829,1.22054,1.42169,0.00148546,0.00148546,0.00148546
35,5758.73,1.65125,1.26726,1.41602,0.50246,0.53229,0.44588,0.20552,2.41427,1.27882,1.6051,0.00147996,0.00147996,0.00147996
36,5922.94,1.66384,1.24165,1.40254,0.67542,0.60546,0.57887,0.26041,2.02114,1.11703,1.34868,0.00147446,0.00147446,0.00147446
37,6086.8,1.62115,1.21167,1.40005,0.55851,0.58594,0.48474,0.21987,2.20928,1.27944,1.46819,0.00146896,0.00146896,0.00146896
38,6251.32,1.60569,1.22746,1.39453,0.63093,0.55931,0.55471,0.27562,2.0684,1.09342,1.3777,0.00146346,0.00146346,0.00146346
39,6414.94,1.63034,1.21439,1.39023,0.63493,0.65093,0.5908,0.27073,2.16944,1.10997,1.43914,0.00145796,0.00145796,0.00145796
40,6579.23,1.60647,1.20482,1.37917,0.62091,0.64429,0.55943,0.2759,2.08567,1.08755,1.41187,0.00145246,0.00145246,0.00145246
41,6743,1.59089,1.20174,1.36876,0.62385,0.59044,0.52273,0.24321,2.20183,1.26457,1.43796,0.00144696,0.00144696,0.00144696
42,6907.3,1.58881,1.195,1.37222,0.58524,0.51692,0.50602,0.24409,2.39877,1.23314,1.59167,0.00144145,0.00144145,0.00144145
43,7071.13,1.59263,1.17794,1.37537,0.59941,0.66747,0.55124,0.27685,2.16592,1.12361,1.42522,0.00143595,0.00143595,0.00143595
44,7234.83,1.59082,1.16718,1.3564,0.60954,0.60139,0.51707,0.25699,2.12747,1.20964,1.40611,0.00143045,0.00143045,0.00143045
45,7398.44,1.58062,1.16576,1.36201,0.5348,0.62048,0.53011,0.26946,2.1353,1.2005,1.39631,0.00142495,0.00142495,0.00142495
46,7561.67,1.55565,1.16152,1.36271,0.76408,0.51746,0.55744,0.2741,2.16456,1.07102,1.41815,0.00141945,0.00141945,0.00141945
47,7725.66,1.56728,1.15933,1.34802,0.67292,0.49355,0.52109,0.26892,2.19498,1.22078,1.42213,0.00141395,0.00141395,0.00141395
48,7888.92,1.57634,1.13928,1.34983,0.69702,0.57736,0.61277,0.30924,2.01024,1.11182,1.31911,0.00140845,0.00140845,0.00140845
49,8053.18,1.56971,1.1547,1.34164,0.71278,0.60096,0.58919,0.28365,1.91521,1.12257,1.2905,0.00140295,0.00140295,0.00140295
50,8217.09,1.57158,1.14876,1.35148,0.63538,0.56777,0.56518,0.26116,2.24576,1.19048,1.48224,0.00139745,0.00139745,0.00139745
51,8389.67,1.55223,1.15281,1.34926,0.72645,0.61322,0.61275,0.29977,2.03162,1.11234,1.35469,0.00139195,0.00139195,0.00139195
52,8560.45,1.55376,1.14672,1.34613,0.66247,0.51277,0.53485,0.2866,2.24967,1.16514,1.47679,0.00138644,0.00138644,0.00138644
53,8736.74,1.53881,1.13599,1.34829,0.72089,0.57736,0.60314,0.28435,2.15738,1.18967,1.38876,0.00138094,0.00138094,0.00138094
54,8909.37,1.53264,1.12797,1.32311,0.66659,0.57112,0.58109,0.26848,2.25939,1.16469,1.47099,0.00137544,0.00137544,0.00137544
55,9081.61,1.53078,1.13261,1.34141,0.61281,0.59055,0.54418,0.25615,2.23649,1.19656,1.48022,0.00136994,0.00136994,0.00136994
56,9258.08,1.52845,1.11173,1.33814,0.70398,0.59687,0.60996,0.31496,2.03077,1.09044,1.33797,0.00136444,0.00136444,0.00136444
57,9432.54,1.5161,1.10969,1.3292,0.62781,0.6962,0.60366,0.31754,2.05376,1.10326,1.35452,0.00135894,0.00135894,0.00135894
58,9605.87,1.52318,1.11924,1.32583,0.65271,0.6402,0.60255,0.3145,2.16368,1.13715,1.41392,0.00135344,0.00135344,0.00135344
59,9778.69,1.49982,1.09265,1.3135,0.65937,0.58165,0.58187,0.27787,2.18756,1.09002,1.42666,0.00134794,0.00134794,0.00134794
60,9951.72,1.51087,1.13654,1.33417,0.70356,0.64,0.63796,0.34084,1.9152,0.99355,1.27012,0.00134244,0.00134244,0.00134244
61,10138.5,1.50071,1.10966,1.31864,0.66388,0.61189,0.60399,0.322,2.07948,1.11628,1.39289,0.00133693,0.00133693,0.00133693
62,10318,1.49402,1.078,1.3017,0.63826,0.64429,0.61146,0.30294,2.06772,1.02781,1.35552,0.00133143,0.00133143,0.00133143
63,10489.7,1.49863,1.0787,1.30972,0.68845,0.60546,0.62677,0.31569,2.16035,1.09473,1.41995,0.00132593,0.00132593,0.00132593
64,10661.9,1.46708,1.07733,1.30134,0.68861,0.70293,0.64008,0.32018,2.10925,1.04472,1.37247,0.00132043,0.00132043,0.00132043
65,10838.8,1.48838,1.0883,1.30965,0.67775,0.6108,0.63479,0.32614,2.11114,1.13228,1.38715,0.00131493,0.00131493,0.00131493
66,11018.9,1.47938,1.06856,1.29852,0.66913,0.69385,0.66149,0.36326,1.9246,0.97622,1.28752,0.00130943,0.00130943,0.00130943
67,11201.3,1.47832,1.0647,1.29013,0.69283,0.58724,0.6131,0.32323,2.11817,1.04345,1.3956,0.00130393,0.00130393,0.00130393
68,11379.4,1.47824,1.04651,1.2901,0.70229,0.61854,0.60721,0.31703,2.06225,1.16057,1.36837,0.00129843,0.00129843,0.00129843
69,11553.1,1.48439,1.06159,1.29009,0.77043,0.61639,0.68265,0.34233,1.95055,1.00065,1.30526,0.00129293,0.00129293,0.00129293
70,11728.1,1.45307,1.03235,1.2831,0.74642,0.55355,0.61795,0.31076,2.16209,1.06573,1.42402,0.00128742,0.00128742,0.00128742
71,11899.3,1.45531,1.05108,1.28806,0.70747,0.62539,0.613,0.3292,2.25136,1.09706,1.4806,0.00128192,0.00128192,0.00128192
72,12074.6,1.45645,1.03949,1.28183,0.70893,0.61404,0.62611,0.31934,2.16676,1.03269,1.43335,0.00127642,0.00127642,0.00127642
73,12247.6,1.45569,1.04857,1.29994,0.76724,0.61974,0.61281,0.31643,1.95983,0.99128,1.30601,0.00127092,0.00127092,0.00127092
74,12423.6,1.46074,1.04872,1.28585,0.73474,0.62283,0.62667,0.31465,2.11186,1.09464,1.37398,0.00126542,0.00126542,0.00126542
75,12598.5,1.43991,1.02998,1.2647,0.76222,0.5905,0.63981,0.32416,2.18137,1.08997,1.41371,0.00125992,0.00125992,0.00125992
76,12773.7,1.45634,1.02347,1.27242,0.5758,0.63785,0.57534,0.28984,2.14212,1.1218,1.41956,0.00125442,0.00125442,0.00125442
77,12946.9,1.43167,1.03984,1.27855,0.73551,0.59258,0.5945,0.30389,2.14734,1.07708,1.40873,0.00124892,0.00124892,0.00124892
78,13122.8,1.43006,1.01866,1.25741,0.62834,0.6357,0.60202,0.32209,2.16689,1.09229,1.42357,0.00124342,0.00124342,0.00124342
79,13301.3,1.42788,1.01123,1.26785,0.69318,0.6748,0.63371,0.31666,2.16241,1.06244,1.42365,0.00123791,0.00123791,0.00123791
80,13473.8,1.4417,1.0021,1.25584,0.59635,0.72236,0.64342,0.33982,2.14677,1.09068,1.40129,0.00123241,0.00123241,0.00123241
81,13648.8,1.42262,1.01531,1.26394,0.70643,0.62283,0.63759,0.32682,2.1444,1.07634,1.40207,0.00122691,0.00122691,0.00122691
82,13821.8,1.41367,1.00196,1.25746,0.6631,0.65522,0.61264,0.30852,2.14346,1.13792,1.42984,0.00122141,0.00122141,0.00122141
83,14001.5,1.42756,1.013,1.26665,0.71867,0.59652,0.62549,0.28589,2.20102,1.19369,1.45264,0.00121591,0.00121591,0.00121591
84,14177.8,1.41918,1.01081,1.25006,0.76527,0.62712,0.6638,0.34293,2.20654,1.07287,1.45653,0.00121041,0.00121041,0.00121041
85,14350.7,1.4099,0.99435,1.25541,0.70712,0.62793,0.63223,0.33563,2.18311,1.05503,1.42802,0.00120491,0.00120491,0.00120491
86,14520.9,1.40291,0.98369,1.25133,0.73847,0.62712,0.65634,0.33702,2.09542,1.04275,1.39806,0.00119941,0.00119941,0.00119941
87,14691.1,1.41783,0.98839,1.26521,0.63169,0.68118,0.63124,0.3364,2.17064,1.02262,1.40188,0.00119391,0.00119391,0.00119391
88,14869.5,1.39277,0.99561,1.25693,0.70575,0.58185,0.63304,0.32865,2.20241,1.05734,1.45074,0.0011884,0.0011884,0.0011884
89,15048.3,1.39235,0.99603,1.25224,0.74027,0.67608,0.66415,0.32084,2.17202,1.03171,1.45999,0.0011829,0.0011829,0.0011829
90,15227.6,1.39574,0.96865,1.24406,0.66231,0.72665,0.63794,0.3293,2.11211,1.01428,1.40395,0.0011774,0.0011774,0.0011774
91,15403.9,1.39744,0.98474,1.25278,0.70015,0.64664,0.61946,0.3375,2.11617,1.00289,1.40544,0.0011719,0.0011719,0.0011719
92,15578.5,1.36993,0.97758,1.24373,0.68544,0.67924,0.64321,0.36104,2.18403,1.06106,1.45383,0.0011664,0.0011664,0.0011664
93,15749.8,1.38028,0.96066,1.23985,0.75578,0.66166,0.69189,0.363,2.08666,0.99014,1.36595,0.0011609,0.0011609,0.0011609
